Rank,Country,US$,#,"Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2019,2020,2021,Estimates Start After,FIPS,Admin2,Province_State,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
9,Australia,"62,723",116.0,"29,419",17,909,.,"26,361","2,149",.,"1,143",35,"16,141,909","627,375","25,729,274",2021-04-16,1420577.0,159294.0,0.0,2021/04/16,36.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,391.54","1,359.33","1,617.54",2020.0,.,.,New South Wales,2021-04-17 04:20:40,-33.8688,151.2093,5370,54,0.0,5316.0,"New South Wales, Australia",66.14929785661494,1.005586592178771
9,Australia,"62,723",116.0,"29,419",17,909,.,"26,361","2,149",.,"1,143",35,"16,141,909","627,375","25,729,274",2021-04-16,1420577.0,159294.0,0.0,2021/04/16,36.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,391.54","1,359.33","1,617.54",2020.0,.,.,Northern Territory,2021-04-17 04:20:40,-12.4634,130.8456,113,0,107.0,6.0,"Northern Territory, Australia",46.00977198697069,0.0
9,Australia,"62,723",116.0,"29,419",17,909,.,"26,361","2,149",.,"1,143",35,"16,141,909","627,375","25,729,274",2021-04-16,1420577.0,159294.0,0.0,2021/04/16,36.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,391.54","1,359.33","1,617.54",2020.0,.,.,Queensland,2021-04-17 04:20:40,-27.4698,153.0251,1516,7,1429.0,80.0,"Queensland, Australia",29.635421757403968,0.4617414248021108
9,Australia,"62,723",116.0,"29,419",17,909,.,"26,361","2,149",.,"1,143",35,"16,141,909","627,375","25,729,274",2021-04-16,1420577.0,159294.0,0.0,2021/04/16,36.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,391.54","1,359.33","1,617.54",2020.0,.,.,South Australia,2021-04-17 04:20:40,-34.9285,138.6007,682,4,665.0,13.0,"South Australia, Australia",38.82721320808426,0.5865102639296188
9,Australia,"62,723",116.0,"29,419",17,909,.,"26,361","2,149",.,"1,143",35,"16,141,909","627,375","25,729,274",2021-04-16,1420577.0,159294.0,0.0,2021/04/16,36.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,391.54","1,359.33","1,617.54",2020.0,.,.,Tasmania,2021-04-17 04:20:40,-42.8821,147.3272,234,13,221.0,0.0,"Tasmania, Australia",43.69747899159664,5.5555555555555545
9,Australia,"62,723",116.0,"29,419",17,909,.,"26,361","2,149",.,"1,143",35,"16,141,909","627,375","25,729,274",2021-04-16,1420577.0,159294.0,0.0,2021/04/16,36.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,391.54","1,359.33","1,617.54",2020.0,.,.,Victoria,2021-04-17 04:20:40,-37.8136,144.9631,20494,820,19664.0,10.0,"Victoria, Australia",309.1147679452178,4.001171074460818
9,Australia,"62,723",116.0,"29,419",17,909,.,"26,361","2,149",.,"1,143",35,"16,141,909","627,375","25,729,274",2021-04-16,1420577.0,159294.0,0.0,2021/04/16,36.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,391.54","1,359.33","1,617.54",2020.0,.,.,Western Australia,2021-04-17 04:20:40,-31.9505,115.8605,967,9,941.0,17.0,"Western Australia, Australia",36.75967459895081,0.9307135470527405
10,Qatar,"59,143",72.0,"190,025",.,333,.,"169,635","20,057",461,"67,677",119,"1,802,462","641,947","2,807,805",2021-04-16,1209648.0,100000.0,0.0,2021/04/16,634.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",175.838,146.09,166.031,2019.0,.,.,.,2021-04-17 04:20:40,25.3548,51.1839,194930,367,172598.0,21965.0,Qatar,6765.912546076791,0.18827271328169087
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Blekinge,2021-04-17 04:20:40,56.2784,15.017999999999999,10095,123,0.0,9972.0,"Blekinge, Sweden",6324.950189842487,1.2184249628528974
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Dalarna,2021-04-17 04:20:40,61.0917,14.6664,21657,319,0.0,21338.0,"Dalarna, Sweden",7520.679524666107,1.4729648612457866
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Gavleborg,2021-04-17 04:20:40,61.3012,16.1534,31127,537,0.0,30590.0,"Gavleborg, Sweden",10831.228121455068,1.7251903492145082
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Gotland,2021-04-17 04:20:40,57.4684,18.4867,3358,48,0.0,3310.0,"Gotland, Sweden",5626.109975538652,1.4294222751637882
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Halland,2021-04-17 04:20:40,56.8967,12.8034,35796,301,0.0,35495.0,"Halland, Sweden",10722.244853945507,0.8408760755391664
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Jamtland Harjedalen,2021-04-17 04:20:40,63.1712,14.9592,9873,118,0.0,9755.0,"Jamtland Harjedalen, Sweden",7547.588104884948,1.1951787703838752
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Jonkoping,2021-04-17 04:20:40,57.3708,14.3439,36848,542,0.0,36306.0,"Jonkoping, Sweden",10134.241293292886,1.4709075119409465
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Kalmar,2021-04-17 04:20:40,57.235,16.1849,18209,223,0.0,17986.0,"Kalmar, Sweden",7418.739763532509,1.2246691196660993
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Kronoberg,2021-04-17 04:20:40,56.7183,14.4115,16875,299,0.0,16576.0,"Kronoberg, Sweden",8375.978438370172,1.7718518518518518
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Norrbotten,2021-04-17 04:20:40,66.8309,20.3992,18992,248,0.0,18744.0,"Norrbotten, Sweden",7593.975041284642,1.3058129738837403
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Orebro,2021-04-17 04:20:40,59.535,15.0066,25670,316,0.0,25354.0,"Orebro, Sweden",8421.77785797477,1.2310089598753409
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Ostergotland,2021-04-17 04:20:40,58.3454,15.5198,31885,593,0.0,31292.0,"Ostergotland, Sweden",6849.697633701759,1.8598086874705972
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Skane,2021-04-17 04:20:40,55.9903,13.5958,133098,1663,0.0,131435.0,"Skane, Sweden",9659.99359861579,1.2494552885843513
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Sormland,2021-04-17 04:20:40,59.0336,16.7519,20681,436,0.0,20245.0,"Sormland, Sweden",6950.662095852657,2.1082152700546395
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Stockholm,2021-04-17 04:20:40,59.6025,18.1384,214510,4105,0.0,210405.0,"Stockholm, Sweden",9024.092994727569,1.9136636986620668
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Uppsala,2021-04-17 04:20:40,60.0092,17.2715,33436,506,0.0,32930.0,"Uppsala, Sweden",8713.804327713682,1.513338916138294
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Varmland,2021-04-17 04:20:40,59.7294,13.2354,14852,191,0.0,14661.0,"Varmland, Sweden",5258.946086242184,1.286022084567735
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Vasterbotten,2021-04-17 04:20:40,65.3337,16.5162,19575,177,0.0,19398.0,"Vasterbotten, Sweden",7203.682986428004,0.9042145593869731
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Vasternorrland,2021-04-17 04:20:40,63.4276,17.7292,20861,437,0.0,20424.0,"Vasternorrland, Sweden",8502.651346867906,2.094818081587652
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Vastmanland,2021-04-17 04:20:40,59.6714,16.2159,22996,339,0.0,22657.0,"Vastmanland, Sweden",8336.565825010422,1.4741694207688294
11,Sweden,"58,977",28.0,"857,401",.,"13,621",.,.,.,376,"84,488","1,342","7,847,033","773,245","10,148,191",2021-04-16,2316903.0,1667542.0,649361.0,2021/04/16,752.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",531.283,537.61,625.948,2019.0,.,.,Vastra Gotaland,2021-04-17 04:20:40,58.2528,13.0596,159744,2267,0.0,157477.0,"Vastra Gotaland, Sweden",9255.794576798748,1.4191456330128205
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Aruba,2021-04-17 04:20:40,12.5211,-69.9683,10264,92,9660.0,512.0,"Aruba, Netherlands",9613.547383998652,0.8963367108339828
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,"Bonaire, Sint Eustatius and Saba",2021-01-08 23:22:27,12.1784,-68.2385,196,3,180.0,13.0,"Bonaire, Sint Eustatius and Saba, Netherlands",747.4924678692648,1.5306122448979589
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Curacao,2021-04-17 04:20:40,12.1696,-68.99,11769,85,8247.0,3437.0,"Curacao, Netherlands",7171.8464351005505,0.7222363837199423
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Drenthe,2021-04-17 04:20:40,52.862485,6.6184350000000025,28971,338,0.0,28633.0,"Drenthe, Netherlands",5868.352502218027,1.166683925304615
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Flevoland,2021-04-17 04:20:40,52.550383,5.515162,31372,228,0.0,31144.0,"Flevoland, Netherlands",7416.18028419393,0.7267627183475711
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Friesland,2021-04-17 04:20:40,53.087337,5.7925,36172,458,0.0,35714.0,"Friesland, Netherlands",5565.291242343726,1.266172730288621
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Gelderland,2021-04-17 04:20:40,52.061738,5.939114,153682,1929,0.0,151753.0,"Gelderland, Netherlands",7367.475378148682,1.255189286969196
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Groningen,2021-04-17 04:20:40,53.217921999999994,6.741514,32982,240,0.0,32742.0,"Groningen, Netherlands",5629.6149631485705,0.7276696379843551
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Limburg,2021-04-17 04:20:40,51.209227,5.93387,91806,1540,0.0,90266.0,"Limburg, Netherlands",8217.500700411118,1.6774502755811167
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Noord-Brabant,2021-04-17 04:20:40,51.561174,5.1849419999999995,220044,3044,0.0,217000.0,"Noord-Brabant, Netherlands",8585.558466691768,1.3833596916980242
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Noord-Holland,2021-04-17 04:20:40,52.60090600000001,4.9186879999999995,237467,2475,0.0,234992.0,"Noord-Holland, Netherlands",8246.73635635297,1.0422500810638953
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Overijssel,2021-04-17 04:20:40,52.444557999999994,6.441722,91186,1092,0.0,90094.0,"Overijssel, Netherlands",7844.591304587209,1.1975522558287457
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Sint Maarten,2021-04-17 04:20:40,18.0425,-63.0548,2202,27,2139.0,36.0,"Sint Maarten, Netherlands",5135.021687421296,1.2261580381471389
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Unknown,2021-04-17 04:20:40,.,.,3113,12,0.0,3101.0,"Unknown, Netherlands",.,0.385480244137488
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Utrecht,2021-04-17 04:20:40,52.084251,5.163824,107389,1216,0.0,106173.0,"Utrecht, Netherlands",7926.358505912902,1.132331989309892
12,Netherlands,"58,003",21.0,"1,350,665",.,"16,771",.,.,.,781,"78,690",977,"11,292,587","657,909","17,164,371",2021-04-11,3783912.0,2957777.0,826135.0,2021/04/11,528.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",907.151,909.503,"1,012.60",2019.0,.,.,Zeeland,2021-04-17 04:20:40,51.47936,3.8615589999999997,23280,230,0.0,23050.0,"Zeeland, Netherlands",6070.594125500666,0.9879725085910652
